,ch,py,en
470,阿,a1/a4/a/e1,"an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter"
471,李,li3,(a surname)/plum
472,标,biao1,the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid
473,谈,tan2,to speak/to talk/to converse/to chat/to discuss/(surname)
474,吃,chi1/ji2,"eat/eradicate/destroy/receive, eat, stammer"
475,图,tu2,diagram/to plan/picture/drawing/chart
476,念,nian4,"read aloud, to read aloud"
477,六,liu4,six/6
478,引,yin3,to lead/to divert (water)/to guide
479,历,li4,"calendar, to experience/to undergo/to pass through/all/each/every/calendar"
480,首,shou3,head/chief/first (occasion)/first (thing)/measure word for poems
481,医,yi1,medical/medicine/doctor/to cure/to treat
482,局,ju2,"narrow, (a measure word used for games) set or round office/situation/office"
483,突,tu1,to dash/to move forward quickly
484,专,zhuan1,"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized"
485,费,fei4,to cost/to spend/fee/wasteful/expenses/(surname)
486,号,hao2/hao4,"roar/cry, day of a month/(suffix used after) name of a ship/(ordinal) number"
487,尽,jin3/jin4,"to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)"
488,另,ling4,other/another/separate/separately
489,周,zhou1,"(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week"
490,较,jiao4,clear/distinct/compare/comparatively
491,注,zhu4,"to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate"
492,语,yu3/yu4,"dialect/language/speech, tell to"
493,仅,jin3,barely/only/merely
494,考,kao3,to check/to verify/to test/to examine
495,落,la4/luo4,"leave behind, alight/to fall/to drop (behind)"
496,青,qing1,"green (blue, black)"
497,随,sui2,to follow/to comply with/to allow/(surname)
498,选,xuan3,to choose/to pick/to select/to elect
499,列,lie4,to arrange/to line up/row/file/series
500,武,wu3,martial/military
501,红,hong2,bonus/popular/red/revolutionary
502,响,xiang3,to make a sound/to sound/to ring/(a measure word for sound)/loud
503,虽,sui1,although/even though
504,推,tui1,push/refuse (responsibility)/shove
505,势,shi4,conditions/influence/tendency
506,参,can1/shen1,"take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng"
507,希,xi1,rare/infrequent
508,古,gu3,ancient/old
509,众,zhong4,multitude
510,构,gou4,Broussonetia papyrifera/to construct/to form/to make up/to compose
511,房,fang2,house
512,半,ban4,half/semi-/incomplete/(after a number) and a half/half
513,节,jie2/jie1,festival/section/segment/point/part/to economize/to save/temperate
514,土,tu3,earth/dust
515,投,tou2,to throw/to send
516,某,mou3,(used before measure word and noun) some/(a) certain/so and so
517,案,an4,(legal) case/incident/record/file/table
518,黑,hei1,black/dark
519,维,wei2,to preserve/to maintain/to hold together/dimension
520,革,ge2,leather/remove
521,划,hua2/hua4,"to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character"
522,敌,di2,enemy/match
523,致,zhi4,"fine and close, to send/to devote/to deliver/to cause/to convey"
524,陈,chen2,arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)
525,律,lu:4/lv4,law
526,足,zu2,foot/to be sufficient
527,态,tai4,attitude
528,护,hu4,protect
529,七,qi1,seven/7
530,兴,xing1/xing4,"flourish/it is the fashion to/to become popular, interest"
531,派,pai4,clique/school/group/faction/to dispatch
532,孩,hai2,child
533,验,yan4,to examine/to test/to check
534,责,ze2,duty/responsibility/to reproach/to blame
535,营,ying2,army/to deal in/to trade/to operate/to run/camp/nourishment/to manage
536,星,xing1,star/satellite/small amount
537,够,gou4,to reach/to be enough
538,章,zhang1,(surname)/chapter/seal/section
539,音,yin1,sound/noise/news
540,跟,gen1,to follow/to go with/heel/with/and
541,志,zhi4,"the will, sign/mark/to record/write a footnote"
542,底,de/di3,"(possessive part.)/(subor. part.), background/bottom/base"
543,站,zhan4,station/to stand/to halt/to stop
544,严,yan2,(air or water) tight/stern/serious/strict/severe
545,巴,ba1,"(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)"
546,例,li4,example/precedent/rule/case/instance
547,防,fang2,to protect/to defend/to guard (against)
548,族,zu2,race/nationality/ethnicity/clan
549,供,gong1/gong4,"offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession"
550,效,xiao4,"imitate, effect/efficacy/imitate"
551,续,xu4,continue/replenish
552,施,shi1,(surname)/distribute (alms)/to do/to execute/to carry out
553,留,liu2,leave (message)/to retain/to stay/to remain/to keep/to preserve
554,讲,jiang3,to talk/speech/to speak/to tell/to explain
555,型,xing2,model
556,料,liao4,material/stuff/grain/feed/to expect/to anticipate/to guess
557,终,zhong1,end/finish
558,答,da1/da2,"to answer/agree, reply/answer/return/respond/echo"
559,紧,jin3,tight/nervous/strict
560,黄,huang2,(surname)/sulfur/yellow
561,绝,jue2,cut short/extinct/to disappear/to vanish/absolutely/by no means
562,奇,ji1/qi2,"odd (Num), strange/odd/weird/wonderful"
563,察,cha2,examine/inquire/observe/inspect/look into/to examine
564,母,mu3,female/mother
565,京,jing1,capital/Beijing (abbrev.)
566,段,duan4,(surname)/paragraph/section/segment
567,依,yi1,according to/depend on/near to
568,批,pi1,"to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on"
569,群,qun2,crowd/flock/group
570,项,xiang4,(surname)/back of neck/item/thing
571,故,gu4,happening/instance/reason/cause/deceased/old
572,按,an4,to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of
573,河,he2,river
574,米,mi3,(measure word) meter/rice
575,围,wei2,to circle/to surround
576,江,jiang1,river
577,织,zhi1,weave
578,害,hai4,to do harm to/to cause trouble to/harm/evil/calamity
579,斗,dou3/dou4,"Chinese peck, to fight/to battle/to struggle/to incite, fight/incite"
580,双,shuang1,two/double/pair/both
581,境,jing4,border/place/condition/boundary/circumstances/territory
582,客,ke4,customer/visitor/guest
583,纪,ji4,discipline/age/era/period/order/record
584,采,cai3/cai4,"to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble"
585,举,ju3,to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect
586,杀,sha1,to kill/to murder/to slaughter
587,攻,gong1,to attack/to accuse/to study
588,父,fu4,father
589,苏,su1,"loquacious/nag, revive, (plant)/place name/revive"
590,密,mi4,secret/confidential/close/thick/dense
591,低,di1,to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low
592,朝,chao2/zhao1,"to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning"
593,友,you3,friend
594,诉,su4,complain/sue/tell
595,止,zhi3,to stop/toe
596,细,xi4,fine/minutely/thin/slender
597,愿,yuan4,"sincere/willing, hope/wish/desire/ready/willing"
598,千,qian1,"thousand, a swing"
599,值,zhi2,value/(to be) worth/to happen
600,仍,reng2,still/yet/to remain
601,男,nan2,male
602,钱,qian2,(surname)/coin/money
603,破,po4,to break/to split/broken/damaged/worn out
604,网,wang3,"net/network, a net"
605,热,re4,heat/to heat up/fervent/hot (of weather)/warm up
606,助,zhu4,to help/to assist
607,倒,dao3/dao4,"to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted"
608,育,yu4,nourish/to rear
609,属,shu3/zhu3,"belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on"
610,坐,zuo4,"to sit/to take a seat/to take (a bus, airplane etc.)"
611,帝,di4,emperor
612,限,xian4,limit/bound
613,船,chuan2,a boat/vessel/ship
614,脸,lian3,face
615,职,zhi2,office/duty
616,速,su4,fast/rapid/quick
617,刻,ke4,quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive
618,乐,le4/yue4,"(surname)/happy/laugh/cheerful, (surname)/music"
619,否,fou3/pi3,"to negate/to deny/not, clogged/evil"
620,刚,gang1,hard/firm/strong/just/barely/exactly
621,威,wei1,power/might/prestige
622,毛,mao2,hair/pore/fur
623,状,zhuang4,accusation/suit/state/condition/strong/great
624,率,lu:4/shuai4/lv4,"rate/frequency, to lead/command"
625,甚,shen4,very/extremely/more (than)
626,独,du2,alone/independent/single/sole/only
627,球,qiu2,ball/sphere
628,般,ban1,sort/kind/class/way/manner
629,普,pu3,general/popular/everywhere/universal
630,怕,pa4,to be afraid/to fear
631,弹,dan4/tan2,"crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)"
632,校,jiao4/xiao4,"proofread/to check/to compare, school"
633,苦,ku3,bitter/intensely/miserable/painful
634,创,chuang1/chuang4,"a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create"
635,假,jia3/jia4,"fake/false/artificial/to borrow/if/suppose, vacation"
636,久,jiu3,(long) time/(long) duration of time
637,错,cuo4,mistake/error/blunder/fault/cross/uneven/wrong
638,承,cheng2,to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive
639,印,yin4,stamp/seal/mark/print/India (abbrev.)
640,晚,wan3,evening/night/late
641,兰,lan2,orchid
642,试,shi4,to test/to try/experiment/examination/test
643,股,gu3,"share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff"
644,拿,na2,to hold/to seize/to catch/to apprehend/to take
645,脑,nao3,brain
646,预,yu4,to advance/in advance/beforehand/to prepare
647,谁,shei2/shui2,"who, who"
648,益,yi4,benefit/increase
649,阳,yang2,positive (electric.)/sun
650,若,ruo4,to seem/like/as/if
651,哪,na3/na/nei3,"how/which, (final part. preceded by N), which (followed by M or Num)"
652,微,wei1,micro/tiny/miniature
653,尼,ni2,Buddhist nun/(often used in phonetic spellings)
654,继,ji4,to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit
655,送,song4,to deliver/to carry/to give (as a present)/to present (with)/to see off/to send
656,急,ji2,hurried/worried
657,血,xie3/xue4,"blood, blood"
658,惊,jing1,to start/to be frightened/to be scared/alarm
659,伤,shang1,injure/injury/wound
660,素,su4,plain/element
661,药,yao4,medicine/drug/cure
662,适,shi4,to fit/to suit
663,波,bo1,wave/ripple/storm/surge
664,夜,ye4,night
665,省,sheng3/xing3,"frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit"
666,初,chu1,at first/(at the) beginning/first/junior/basic
667,喜,xi3,to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad
668,卫,wei4,to guard/to protect/to defend/(surname)
669,源,yuan2,root/source/origin
670,食,shi2/si4,"animal feed/eat/food, to feed"
671,险,xian3,danger (ous)/rugged
672,待,dai1/dai4,"stay/delay, wait/treat/deal with/need/about/intending to do something"
673,述,shu4,to state/to tell/to narrate/to relate
674,陆,liu4/lu4,"six (fraud-proof), (surname)/shore/land/continent"
675,习,xi2,to practice/to study/habit
676,置,zhi4,to install/to place/to put
677,居,ju1,reside
678,劳,lao2,toil
679,财,cai2,money/wealth/riches/property/valuables
680,环,huan2,bracelet/ring (not for finger)/to surround/to loop/loop
681,排,pai2/pai3,"a platoon/line up, row of logs or boards"
682,福,fu2,good fortune
683,纳,na4,to accept/to pay (tax etc.)
684,欢,huan1,joyous/happy/pleased
685,雷,lei2,(surname)/thunder
686,警,jing3,to alert/to warn
687,获,huo4,"to catch/to obtain/to capture, reap/harvest"
688,模,mo2,imitate/model/norm/pattern
689,充,chong1,fill/satisfy/fulfill/to act in place of/substitute/sufficient/full
690,负,fu4,lose/negative (math. etc.)/to bear/to carry (on one's back)
691,云,yun2,"(classical) to say, cloud/(abbr.) for Yunnan/surname"
692,停,ting2,to stop/to halt
693,木,mu4,tree/wood
694,游,you2,"to walk/to tour/to roam/to swim/to travel, to roam/travel"
695,龙,long2,dragon/imperial/Long (a surname)
696,树,shu4,tree
697,疑,yi2,to doubt/to misbelieve/to suspect
698,层,ceng2,a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf
699,冷,leng3,cold
700,洲,zhou1,continent/island
701,冲,chong1/chong4,"to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards"
702,射,she4,radio- (chem.)/shoot
703,略,lue4,plan/strategy/outline/summary/slightly/rather/to rob/to plunder/to summarize
704,范,fan4,pattern/model/example/(surname)
705,竟,jing4,unexpectedly/actually/to go so far as to/indeed
706,句,ju4,"(a measure word, for sentences or lines of verse)/sentence"
707,室,shi4,room
708,异,yi4,"(interj.)/raise/to stop, different/unusual/strange"
709,激,ji1,to arouse/to incite/to excite/to stimulate/sharp/fierce/violent
710,汉,han4,Chinese/name of a dynasty
711,村,cun1,village
712,哈,ha1/ha3,"laughter/yawn, a Pekinese/a pug"
713,策,ce4,method/plan/policy/scheme
714,演,yan3,to develop/to evolve/to practice/to perform/to play/to act
715,简,jian3,simple
716,卡,ka3/qia3,"to check/to stop/to block/card, customs station/to be choked/to fasten/to clip/to wedge/checkpost"
717,罪,zui4,guilt/crime/fault/blame/sin
718,判,pan4,to judge/to sentence/to discriminate/to discern
719,担,dan1/dan4,"to undertake/to carry/to shoulder/to take responsibility, a picul (133.33 lbs.)/burden/a load/responsibility"
720,州,zhou1,(United States) state/province/sub-prefecture
721,静,jing4,still/calm/quiet/not moving
722,退,tui4,retreat/to decline/to move back/to withdraw
723,既,ji4,already/since/both... (and...)
724,衣,yi1/yi4,"clothes, gown/to dress/to wear"
725,您,nin2,you (formal)
726,宗,zong1,school/sect/purpose/model/ancestor/family
727,积,ji1,to amass/to accumulate/to store/old/long-standing
728,余,yu2,extra/surplus/remaining/after/I/me
729,痛,tong4,ache/pain/sorrow
730,检,jian3,to check/to examine/to inspect
731,差,cha1/cha4/chai1/ci1,"difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven"
732,富,fu4,rich
733,灵,ling2,alert/departed soul/efficacious/quick/effective/intelligence
734,协,xie2,cooperate/harmonize/to help/to assist/to join
735,角,jiao3/jue2,"angle/horn/horn-shaped, Chinese musical note/angle/horn"
